Detector	Orientation	Position	Date	Current	MU/min	Bfield	Field_size	Dose1	Dose2	Dose3	Dose_Avg	D_SDOM	Diff_0T	OF	OF_Diff_0T	
Medscint 197-2	perpendicular	Max	2022-09-23 11:51	Reverse		1	1	71.30	71.28	71.34	71.31	0.00020	1.002	0.732	0.980
Medscint 197-2	perpendicular		2022-09-23 11:53	Reverse		1	7	97.43	97.45	97.49	97.46	0.00015	1.022	1.000	1.000
Medscint 197-2	perpendicular	Max	2022-09-23 11:58	Reverse	545	1.5	0.5	43.11	43.37	43.03	43.17	0.00194	0.968	0.441	0.944
Medscint 197-2	perpendicular	Max	2022-09-23 12:02	Reverse		1.5	1	70.91	71.00	70.88	70.93	0.00042	0.996	0.725	0.972
Medscint 197-2	perpendicular		2022-09-23 12:04	Reverse		1.5	7	97.75	97.81	97.83	97.80	0.00020	1.026	1.000	1.000
Medscint 197-2	perpendicular	Max	2022-09-23 13:00	Forward	545	0	0.5	0.00	0.00	0.00	44.81	0.00098	1.000	0.467	1.000
Medscint 197-2	perpendicular	Max	2022-09-23 13:04	Forward		0	1	0.00	0.00	0.00	71.69	0.00084	1.000	0.748	1.000
Medscint 197-2	perpendicular		2022-09-23 13:06	Forward		0	7	0.00	0.00	0.00	95.90	0.00122	1.000	1.000	1.000
Medscint 197-2	perpendicular	Max	2022-09-23 13:16	Forward	545	0.2	0.5	45.64	45.76	45.53	45.64	0.00119	1.019	0.467	1.000
Medscint 197-2	perpendicular	Max	2022-09-23 13:21	Forward		0.2	1	72.66	72.61	72.69	72.65	0.00026	1.013	0.744	0.995
Medscint 197-2	perpendicular		2022-09-23 13:23	Forward		0.2	7	97.65	97.72	97.60	97.66	0.00029	1.018	1.000	1.000
Medscint 197-2	perpendicular	Max	2022-09-23 13:26	Forward	545	0.35	0.5	46.01	45.93	46.08	46.01	0.00077	1.027	0.468	1.002
Medscint 197-2	perpendicular	Max	2022-09-23 13:31	Forward		0.35	1	73.00	72.91	73.22	73.04	0.00103	1.019	0.743	0.994
Medscint 197-2	perpendicular		2022-09-23 13:33	Forward		0.35	7	98.27	98.26	98.35	98.29	0.00024	1.025	1.000	1.000
Medscint 197-2	perpendicular	Max	2022-09-23 13:37	Forward	545	0.5	0.5	45.86	46.12	45.87	45.95	0.00151	1.025	0.465	0.996
Medscint 197-2	perpendicular	Max	2022-09-23 13:42	Forward		0.5	1	73.17	73.01	73.10	73.09	0.00052	1.020	0.740	0.990
Medscint 197-2	perpendicular		2022-09-23 13:44	Forward		0.5	7	98.84	98.77	98.72	98.78	0.00029	1.030	1.000	1.000
Medscint 197-2	perpendicular	Max	2022-09-23 13:48	Forward	545	1	0.5	44.95	45.15	44.82	44.97	0.00174	1.004	0.453	0.970
Medscint 197-2	perpendicular	Max	2022-09-23 13:52	Forward		1	1	72.30	72.36	72.31	72.32	0.00021	1.009	0.729	0.975
Medscint 197-2	perpendicular		2022-09-23 13:55	Forward		1	7	99.28	99.24	99.24	99.25	0.00011	1.035	1.000	1.000
Medscint 197-2	perpendicular	Max	2022-09-23 14:00	Forward	550	1.5	0.5	43.45	43.37	43.45	43.42	0.00050	0.969	0.437	0.935
Medscint 197-2	perpendicular	Max	2022-09-23 14:04	Forward		1.5	1	71.60	71.62	71.55	71.59	0.00024	0.999	0.721	0.964
Medscint 197-2	perpendicular		2022-09-23 14:06	Forward		1.5	7	99.34	99.31	99.38	99.34	0.00017	1.036	1.000	1.000
Medscint 197-2	parallel	Max	2022-09-23 14:40	Forward	545	0	0.5	0.00	0.00	0.00	46.06	0.00103	1.000	0.471	1.000
Medscint 197-2	parallel	Max	2022-09-23 14:57	Forward		0	1	0.00	0.00	0.00	73.16	0.00034	1.000	0.748	1.000
Medscint 197-2	parallel		2022-09-23 14:59	Forward		0	7	0.00	0.00	0.00	97.87	0.00063	1.000	1.000	1.000
Medscint 197-2	parallel	Max	2022-09-23 15:03	Forward	545	0.2	0.5	47.12	46.85	46.95	46.97	0.00106	1.020	0.471	1.001
Medscint 197-2	parallel	Max	2022-09-23 15:07	Forward		0.2	1	74.26	74.17	74.30	74.24	0.00033	1.015	0.744	0.996
Medscint 197-2	parallel		2022-09-23 15:09	Forward		0.2	7	99.72	99.71	99.81	99.75	0.00020	1.019	1.000	1.000
Medscint 197-2	parallel	Max	2022-09-23 15:23	Forward		0.35	0.5	47.15	47.07	47.20	47.14	0.00066	1.023	0.469	0.996
Medscint 197-2	parallel	Max	2022-09-23 15:27	Forward		0.35	1	74.90	74.85	74.77	74.84	0.00041	1.023	0.744	0.996
Medscint 197-2	parallel		2022-09-23 15:28	Forward		0.35	7	100.52	100.56	100.51	100.53	0.00012	1.027	1.000	1.000
Medscint 197-2	parallel	Max	2022-09-23 15:12	Forward	545	0.5	0.5	46.77	46.69	46.96	46.81	0.00140	1.016	0.465	0.988
Medscint 197-2	parallel	Max	2022-09-23 15:16	Forward		0.5	1	74.61	74.69	74.67	74.66	0.00026	1.020	0.741	0.992
Medscint 197-2	parallel		2022-09-23 15:18	Forward		0.5	7	100.71	100.69	100.71	100.70	0.00005	1.029	1.000	1.000
Medscint 197-2	parallel	Max	2022-09-23 15:33	Forward	545	1	0.5	46.03	46.20	46.06	46.10	0.00093	1.001	0.459	0.975
Medscint 197-2	parallel	Max	2022-09-23 15:41	Forward		1	1	73.31	73.46	73.24	73.34	0.00072	1.002	0.730	0.977
